Method,Iteration,ElapsedTimeMs,CpuTimeMs,PayloadBytes,ObjectCount
Json_Deserialize,15,0.026700,0.025000,6854,10
Json_Deserialize,16,0.025800,0.025000,6854,10
Json_Deserialize,17,0.025500,0.025000,6854,10
Json_Deserialize,18,0.025600,0.025000,6854,10
Json_Deserialize,19,0.025600,0.025000,6854,10
Json_Deserialize,20,0.024500,0.025000,6854,10
Json_Deserialize,21,0.025800,0.025000,6854,10
Json_Deserialize,22,0.026000,0.025000,6854,10
Json_Deserialize,23,0.025500,0.025000,6854,10
Json_Deserialize,24,0.024500,0.025000,6854,10
Json_Deserialize,25,0.028500,0.029200,6854,10
Json_Deserialize,26,0.024700,0.025000,6854,10
Json_Deserialize,27,0.025900,0.029100,6854,10
Json_Deserialize,28,0.025500,0.025000,6854,10
Json_Deserialize,29,0.025700,0.029200,6854,10
Json_Deserialize,30,0.025700,0.025000,6854,10
Xml_Deserialize,1,7.994500,7.883300,9843,10
Xml_Deserialize,2,0.153400,0.154100,9843,10
Xml_Deserialize,3,0.066600,0.066600,9843,10
Xml_Deserialize,4,0.064800,0.066700,9843,10
Xml_Deserialize,5,0.062200,0.062500,9843,10
Xml_Deserialize,6,0.066700,0.066700,9843,10
Xml_Deserialize,7,0.063100,0.066700,9843,10
Xml_Deserialize,8,0.063000,0.066600,9843,10
Xml_Deserialize,9,0.062300,0.062500,9843,10
Xml_Deserialize,10,0.062500,0.062500,9843,10
Xml_Deserialize,11,0.062000,0.066600,9843,10
Xml_Deserialize,12,0.062700,0.062500,9843,10
Xml_Deserialize,13,0.065400,0.062500,9843,10
Xml_Deserialize,14,0.062300,0.062500,9843,10
Xml_Deserialize,15,0.062100,0.062500,9843,10
Xml_Deserialize,16,0.066700,0.070800,9843,10
Xml_Deserialize,17,0.062700,0.066700,9843,10
Xml_Deserialize,18,0.061800,0.062500,9843,10
Xml_Deserialize,19,0.062400,0.062500,9843,10
Xml_Deserialize,20,0.061500,0.062500,9843,10
Xml_Deserialize,21,0.064400,0.062500,9843,10
Xml_Deserialize,22,0.062200,0.062500,9843,10
Xml_Deserialize,23,0.062200,0.062500,9843,10
Xml_Deserialize,24,0.062100,0.062500,9843,10
Xml_Deserialize,25,0.061800,0.062500,9843,10
Xml_Deserialize,26,0.063500,0.062500,9843,10
Xml_Deserialize,27,0.062900,0.062500,9843,10
Xml_Deserialize,28,0.063700,0.062500,9843,10
Xml_Deserialize,29,0.061700,0.062500,9843,10
Xml_Deserialize,30,0.062100,0.062500,9843,10
Protobuf_Deserialize,1,7.244500,7.183300,4593,10
Protobuf_Deserialize,2,0.026000,0.029200,4593,10
Protobuf_Deserialize,3,0.009000,0.008400,4593,10
Protobuf_Deserialize,4,0.009000,0.008400,4593,10
Protobuf_Deserialize,5,0.008600,0.008300,4593,10
Protobuf_Deserialize,6,0.008300,0.008400,4593,10
Protobuf_Deserialize,7,0.007100,0.008400,4593,10
Protobuf_Deserialize,8,0.008500,0.008300,4593,10
Protobuf_Deserialize,9,0.008400,0.008300,4593,10
Protobuf_Deserialize,10,0.008500,0.008300,4593,10
Protobuf_Deserialize,11,0.007200,0.008300,4593,10
Protobuf_Deserialize,12,0.007300,0.004100,4593,10
Protobuf_Deserialize,13,0.008000,0.008300,4593,10
Protobuf_Deserialize,14,0.007200,0.008300,4593,10
Protobuf_Deserialize,15,0.011100,0.012500,4593,10
Protobuf_Deserialize,16,0.007100,0.008300,4593,10
Protobuf_Deserialize,17,0.008500,0.012500,4593,10
Protobuf_Deserialize,18,0.008100,0.008400,4593,10
Protobuf_Deserialize,19,0.008100,0.008300,4593,10
Protobuf_Deserialize,20,0.008100,0.008400,4593,10
Protobuf_Deserialize,21,0.007100,0.008400,4593,10
Protobuf_Deserialize,22,0.009400,0.008400,4593,10
Protobuf_Deserialize,23,0.008300,0.008400,4593,10
Protobuf_Deserialize,24,0.008200,0.008400,4593,10
Protobuf_Deserialize,25,0.007100,0.008400,4593,10
Protobuf_Deserialize,26,0.008100,0.008300,4593,10
Protobuf_Deserialize,27,0.008000,0.008300,4593,10
Protobuf_Deserialize,28,0.008000,0.012500,4593,10
Protobuf_Deserialize,29,0.008200,0.008300,4593,10
Protobuf_Deserialize,30,0.007100,0.004200,4593,10
